a,art,uno,
development,n,progressu,
devil,n,diabolo,
dew,n,rore,
dextrous,adj,versuto,
diffuse,vt,diffunde,
digest,vt,digere,
digit,n,digito,
diminish,vt,minue,
direct,vt,dirige,
dirty,adj,spurco,
disappear,vi,evanesce,
disaster,n,infortunio,
disclaim,vt,nega,
discourse,n,oratione,
discuss,vt,discute,
dish,n,plato,
dispatch,vt,expedi,
displace,vt,amove,
dispute,vt,disputa,Nos ne debe disputa de gustu.
disseminate,vt,semina,
distant,adj,distante,
district,n,pago,
ditch,n,fossa,
diurnal,adj,diurnale,
diverse,adj,diverso,
divide,vt,divide,Divide et impera.
doctor,n,medico,
dog,n,cane,Cane que latra ne morde.
double,adj,duplo,
doubt,n,dubio,
dowry,n,dote,
drag,vt,trahe,
draught,n,haustu,
dread,vt,time,
drop,n,guta,
dross,n,scoria,
drought,n,siccitate,
duck,n,anate,
dull,adj,hebete,
dumb,adj,muto,
dumbbell,n,libramenta,
during,n,dum,
eagle,n,aquila,
ear,n,aure,
early (towards beginning),adj,cito,
earn,vt,lucra,
earthenware,n,fictilia,
east,n,est,
easy,adj,facile,
eat,vt,ede,
eel,n,anguilla,
effort,n,conatu,
elbow,n,cubito,
elementary,adj,elementario,
elevate,vt,eleva,
elevator,n,ascensore,
eleven,card,decem-uno,
eleventh,ord,decimo-primo,
else,adv,alio,
elsewhere,cor,alibi,
embarrass,vt,impedi,
embrace,vt,amplecte,
emery,n,smyride,
eminent,adj,augusto,
emphasize,vt,preme,
empire,n,imperio,
empty,adj,vacuo,
encircle,vt,circumda,
encompass,vt,circui,
endive,n,endivia,
endorse,vt,fave,
engineer,n,ingeniario,
engrave,vt,incide,
engraved,adj,inciso,
enounce,vt,enuntia,
enter,vt,intra,
entire,adj,toto,
entirely,adv,toto,
entity,n,ente,
entrance,n,ingressu,
entreat,vt,ora,
enumerate,vt,numera,
envy,vt,invide,
epistle,n,epistola,
epoch,n,aevo,
equal,adj,aequale,
equipment,n,supellectile,
equity,n,jure,
era,n,aevo,
erase,vt,frica,
erect,vt,erige,
err,vi,erra,Homo erra.
erudite,adj,erudito,
escort,vt,comita,
establish,vt,stabili,
estate,n,loco,
evening,n,vespere,
ever (always),adv,semper,
examine,vt,inspice,
excess (balance),n,reliquo,
excite,vt,incende,
exclude,vt,exclude,
execute (perform),vt,exseque,
exhibit,vt,expone,
expect,vt,expecta,
explain,vt,explica,
express,vt,exprime,
extraneous,adj,extraneo,
eye,n,oculo,
face,n,vultu,
fair (hair),adj,flavo,
faithful,adj,fidele,
farmer,n,agricola,
farrago,n,farragine,
fast,adj,veloce,
fate (random),n,sorte,
father,n,patre,
fatigued,adj,fesso,
faucet,n,valvula,
feather,n,pluma,
feature,vt,praesenta,
fee,n,imposito,
feel,vt,senti,
felt (cloth),n,coactilia,
female,n,femina,
fern,n,filice,
ferule,n,virga,
fetter,vt,impedi,
fever,n,febri,
field,n,agro,
fifth,ord,quinto,
fiftieth,ord,quinquagesimo,
fifty,card,quinquaginta ,
file,vt,ordina,
fin,n,pinna,
finally,adv,in fine,
find,vt,inveni,
finger,n,digito,
finish,vt,fini,
fir,n,abiete,
firm (business),n,fabrica,
first,ord,primo,
fish,n,pisce,
fish,vt,pisca,
fissure,n,fissura,
five,card,quinque,
fix,vt,stabili,
flake,n,flocco,
flame,n,flamma,
